20170518-5,23.65
20170518-6,28.30
20170518-7,31.62
20170518-8,34.26
20170518-9,37.46
20170518-10,43.06
20170518-11,50.28
20170518-12,61.34
20170518-13,76.01
20170518-14,93.78
20170518-15,112.74
20170518-16,130.64
20170518-17,114.40
20170518-18,71.64
20170518-19,54.56
20170518-20,52.81
20170518-21,43.63
20170518-22,34.86
20170518-23,28.56
20170519-0,25.41
20170519-1,23.00
20170519-2,21.53
20170519-3,20.43
20170519-4,20.93
20170519-5,23.05
20170519-6,28.15
20170519-7,30.93
20170519-8,32.90
20170519-9,36.43
20170519-10,40.08
20170519-11,41.45
20170519-12,43.10
20170519-13,46.62
20170519-14,51.07
20170519-15,55.40
20170519-16,59.24
20170519-17,51.24
20170519-18,42.24
20170519-19,37.15
20170519-20,39.82
20170519-21,35.33
20170519-22,27.42
20170519-23,24.24
20170520-0,23.96
20170520-1,23.60
20170520-2,21.95
20170520-3,21.39
20170520-4,21.48
20170520-5,21.48
20170520-6,21.19
20170520-7,21.58
20170520-8,23.71
20170520-9,25.38
20170520-10,26.84
20170520-11,28.10
20170520-12,29.02
20170520-13,29.38
20170520-14,31.02
20170520-15,31.77
20170520-16,32.50
20170520-17,32.61
20170520-18,28.61
20170520-19,27.21
20170520-20,29.83
20170520-21,27.89
20170520-22,25.26
20170520-23,22.36
20170521-0,21.66
20170521-1,21.26
20170521-2,19.47
20170521-3,18.88
20170521-4,18.95
20170521-5,18.87
20170521-6,18.65
20170521-7,19.14
20170521-8,21.12
20170521-9,22.56
20170521-10,23.72
20170521-11,24.13
20170521-12,24.22
20170521-13,23.92
20170521-14,23.92
20170521-15,24.05
20170521-16,24.25
20170521-17,25.05
20170521-18,24.85
20170521-19,24.41
20170521-20,27.61
20170521-21,26.59
20170521-22,23.31
20170521-23,21.18
20170522-0,20.58
20170522-1,19.96
20170522-2,19.56
20170522-3,18.92
20170522-4,19.56
20170522-5,20.80
20170522-6,24.48
20170522-7,26.67
20170522-8,27.82
20170522-9,29.24
20170522-10,30.26
20170522-11,32.26
20170522-12,32.79
20170522-13,33.89
20170522-14,33.79
20170522-15,33.12
20170522-16,33.96
20170522-17,33.91
20170522-18,30.45
20170522-19,30.78
20170522-20,33.45
20170522-21,31.60
20170522-22,24.40
20170522-23,22.05
20170523-0,21.00
20170523-1,20.47
20170523-2,19.91
20170523-3,19.08
20170523-4,19.71
20170523-5,20.86
20170523-6,24.65
20170523-7,27.27
20170523-8,28.42
20170523-9,29.70
20170523-10,31.26
20170523-11,32.73
20170523-12,34.03
20170523-13,33.85
20170523-14,34.26
20170523-15,33.71
20170523-16,33.43
20170523-17,34.10
20170523-18,31.83
20170523-19,30.72
20170523-20,33.88
20170523-21,33.88
20170523-22,25.24
20170523-23,22.22
20170524-0,21.49
20170524-1,20.58
20170524-2,19.71
20170524-3,18.96
20170524-4,19.48
20170524-5,20.87
20170524-6,24.75
20170524-7,27.47
20170524-8,28.96
20170524-9,30.31
20170524-10,30.91
20170524-11,31.59
20170524-12,31.52
20170524-13,30.90
20170524-14,31.34
20170524-15,31.14
20170524-16,31.12
20170524-17,31.91
20170524-18,30.23
20170524-19,28.50
20170524-20,32.65
20170524-21,30.94
20170524-22,25.05
20170524-23,22.11
20170525-0,20.55
20170525-1,19.84
20170525-2,19.29
20170525-3,18.35
20170525-4,19.34
20170525-5,21.53
20170525-6,24.70
20170525-7,27.61
20170525-8,30.00
20170525-9,31.95
20170525-10,32.62
20170525-11,33.42
20170525-12,32.85
20170525-13,33.02
20170525-14,32.89
20170525-15,32.60
20170525-16,32.98
20170525-17,32.84
20170525-18,32.19
20170525-19,30.78
20170525-20,33.55
20170525-21,32.73
20170525-22,25.67
20170525-23,22.45
20170526-0,21.45
20170526-1,20.37
20170526-2,20.00
20170526-3,19.04
20170526-4,19.60
20170526-5,21.41
20170526-6,23.38
20170526-7,26.23
20170526-8,28.01
20170526-9,30.12
20170526-10,31.34
20170526-11,33.15
20170526-12,33.86
20170526-13,33.90
20170526-14,33.99
20170526-15,34.36
20170526-16,35.17
20170526-17,34.36
20170526-18,32.87
20170526-19,32.43
20170526-20,33.86
20170526-21,32.74
20170526-22,25.35
20170526-23,22.76
20170527-0,21.38
20170527-1,20.75
20170527-2,20.04
20170527-3,19.00
20170527-4,19.10
20170527-5,20.07
20170527-6,20.50
20170527-7,21.87
20170527-8,23.69
20170527-9,25.37
20170527-10,28.04
20170527-11,31.45
20170527-12,31.36
20170527-13,32.76
20170527-14,32.23
20170527-15,32.31
20170527-16,32.77
20170527-17,33.09
20170527-18,32.80
20170527-19,31.16
20170527-20,32.85
20170527-21,31.40
20170527-22,24.59
20170527-23,21.99
20170528-0,19.54
20170528-1,18.09
20170528-2,17.11
20170528-3,16.20
20170528-4,15.98
20170528-5,15.60
20170528-6,13.91
20170528-7,16.90
